dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500016,4.970000,0.000400,0.040000,2.000000,100.000000,0.000058
0.020000,0.500003,4.970000,0.000413,0.000651,-1.967444,-198.372201,0.000012
0.020000,0.502771,4.970000,0.003181,0.138399,6.887402,442.742314,6.283105
0.020000,0.507533,4.969999,0.007943,0.238093,4.984700,-95.135131,6.282969
0.020000,0.513883,4.969997,0.014293,0.317512,3.970932,-50.688369,6.282791
0.020000,0.521823,4.969993,0.022233,0.396977,3.973258,0.116308,6.282575
0.020000,0.531353,4.969986,0.031763,0.476500,3.976163,0.145241,6.282325
0.020000,0.542475,4.969975,0.042885,0.556093,3.979649,0.174281,6.282046
0.020000,0.555190,4.969959,0.055600,0.635768,3.983717,0.203421,6.281744
0.020000,0.569501,4.969936,0.069911,0.715535,3.988360,0.232145,6.281425
0.020000,0.585409,4.969905,0.085819,0.795406,3.993584,0.261192,6.281097
0.020000,0.602917,4.969866,0.103327,0.875394,3.999391,0.290346,6.280768
0.020000,0.622027,4.969816,0.122437,0.955510,4.005768,0.318861,6.280447
0.020000,0.642742,4.969756,0.143152,1.035764,4.012727,0.347954,6.280144
0.020000,0.665065,4.969685,0.165475,1.116170,4.020269,0.377086,6.279871
0.020000,0.688601,4.969604,0.189011,1.176784,3.030742,-49.476333,6.279641
0.020000,0.712553,4.969517,0.212963,1.197593,1.040419,-99.516184,6.279469
0.020000,0.736522,4.969427,0.236932,1.198463,0.043500,-49.845930,6.279359
0.020000,0.760508,4.969334,0.260919,1.199333,0.043496,-0.000177,6.279312
0.020000,0.784512,4.969241,0.284923,1.200203,0.043495,-0.000078,6.279326
0.020000,0.808533,4.969150,0.308944,1.201073,0.043495,0.000022,6.279403
0.020000,0.832572,4.969060,0.332983,1.201942,0.043498,0.000121,6.279541
0.020000,0.856628,4.968975,0.357039,1.202813,0.043502,0.000220,6.279742
0.020000,0.880702,4.968895,0.381113,1.203683,0.043509,0.000318,6.280005
0.020000,0.904793,4.968822,0.405204,1.204553,0.043517,0.000415,6.280331
0.020000,0.928901,4.968758,0.429313,1.205424,0.043527,0.000510,6.280718
0.020000,0.953027,4.968704,0.453439,1.206294,0.043539,0.000603,6.281168
0.020000,0.977170,4.968661,0.477582,1.207165,0.043553,0.000693,6.281679
0.020000,1.001331,4.968631,0.501743,1.208037,0.043569,0.000781,6.282253
0.020000,1.025509,4.968616,0.525921,1.208908,0.043586,0.000866,6.282890
0.020000,1.049705,4.968618,0.550116,1.209781,0.043605,0.000946,0.000403
